sift_pos_error,sift_angle_error,icp_pos_error,icp_angle_error
1.505,0.041,0.297,0.024
1.505,0.041,0.238,0.038
1.501,0.038,0.407,0.032
0.986,0.035,0.510,-0.015
1.296,0.037,0.285,-0.031
1.145,0.002,0.418,-0.021
1.311,0.044,0.661,-0.002
1.427,0.030,0.610,-0.014
1.800,0.037,0.706,-0.007
1.338,0.024,0.981,-0.041
1.308,0.040,0.812,-0.044
1.341,0.007,0.894,-0.0007
1.516,0.005,1.224,0.004
1.505,0.017,1.196,-0.002
1.483,0.004,1.258,-0.005
1.074,-0.006,1.522,-0.016
1.220,0.008,1.428,-0.004
1.215,-0.002,1.426,-0.010
1.181,0.093,0.494,0.025
1.135,0.037,0.552,0.028
1.374,0.036,0.603,0.024
2.241,0.042,0.745,0.037
0.994,0.027,0.882,0.041
1.698,0.035,1.093,0.002
2.151,0.003,1.127,-0.022
1.963,0.009,0.742,-0.061
2.325,-0.026,0.989,-0.060
1.959,0.012,0.435,-0.050
1.972,-0.003,0.691,-0.027
2.109,0.008,0.873,-0.017
3.077,-0.015,1.346,-0.012
3.513,-0.030,1.439,-0.022
2.740,-0.021,1.317,-0.019
2.246,-0.011,1.428,-0.025
2.742,0.024,1.624,-0.006
2.372,-0.007,1.704,-0.018
0.873,0.188,0.466,-0.025
0.790,0.162,0.309,0.010
1.508,0.068,0.403,-0.007
0.619,0.310,0.553,0.030
0.837,0.276,0.563,0.037
1.363,0.097,0.797,-0.040
2.120,0.050,0.949,-0.050
1.975,0.173,0.617,0.023
2.323,0.272,0.802,-0.017
2.491,0.015,0.993,0.011
2.695,-0.035,1.074,-0.017
2.544,0.003,1.140,-0.040
1.629,0.168,1.083,0.042
2.087,0.112,1.109,0.043
2.218,0.066,0.976,0.020
3.419,-0.243,1.334,-0.035
3.080,-0.015,1.217,-0.003
2.819,-0.154,1.281,-0.003
