correct arm.    correct obj.    false arm.  false obj.
46              30              1           4
44              28              1           4
38              30              0           6
21              27              1           7
17              18              0           6
30              15              0           2
37              16              2           1
36              23              0           4
37              16              2           1
17              20              1           3
26              20              2           1
31              2               0           1
24              0               0           3
57              28              0           6

avrg:
32.93           19.5            0.71        3.5
