correct arm.    correct obj.    false arm.  false obj.
46              30              1           4
44              28              1           4
38              30              0           6
21              27              1           7
17              22              0           0
18              19              0           7
0               12              0           10
0               20              0           6
0               25              0           5
0               15              0           9
2               27              0           7
0               24              0           4
0               13              0           10
0               6               0           10
0               0               0           21
0               0               0           23
0               0               0           24
3               0               0           8
14              10              0           17
16              13              0           25
15              12              0           16
37              16              2           1
23              20              2           2
27              13              0           2
23              13              0           2
22              6               0           8
40              19              1           19

avrg:
15.04           15.56           0.3         9.26
