correct arm.    correct obj.    false arm.  false obj.
66              6               0           2
37              16              0           3
41              11              0           2
33              15              1           3
29              22              0           1
31              20              0           2
38              26              0           4
31              32              0           1
31              31              0           1
19              23              0           3
25              26              1           0
14              0               0           0

avrg:
32.92           19.0            0.17        1.83
