correct arm.    correct obj.    false arm.  false obj.  corrections.
29              8               1           4           3
50              19              1           7           21
33              20              2           3           14
31              21              1           2           14
23              23              1           3           9
13              8               0           3           8
14              7               0           2           12
11              19              0           0           12
13              30              0           1           12
5               35              0           0           5
13              23              0           0           13
19              22              0           2           20
14              22              0           3           14
12              24              0           1           12
10              27              0           0           10
14              22              0           1           13
15              24              0           3           11
20              24              0           3           16
14              21              0           0           8
30              31              0           1           22
26              26              0           4           28
23              26              0           4           27
29              18              1           1           14
29              12              1           1           13
20              8               0           2           9
26              8               1           1           12
14              2               0           0           0
24              2               1           0           3
20              2               1           1           3
32              16              0           2           14

avrg:
20.87           18.33           0.37        1.83        12.4
