correct arm.    correct obj.    false arm.  false obj.
28              8               0           7:7
29              20              0           27:27
22              22              0           14:14
19              22              0           14:13
15              23              0           11:11
5               8               0           11:11
3               4               0           14:14
0               19              0           11:11
1               30              0           13:13
0               35              0           5:5
0               22              0           13:13
0               21              0           17:17
0               27              0           10:10
0               21              0           15:15
4               24              0           14:14
7               20              0           8:8
9               30              0           23:23
0               22              0           31:31
0               25              0           27:27
16              18              0           14:14
17              12              0           13:13
11              7               0           12:12
15              8               0           13:13
14              2               0           0:0
20              2               1           3:3
16              2               1           4:4
22              21              0           20:20

avrg:
10.11           17.59           0.07        13.48
