correct arm.    correct obj.    false arm.  false obj.
11              16              0           2:2
24              24              3           4:2
5               23              0           5:2
6               18              0           2:2
4               18              0           0:0
5               25              0           0:0
4               19              9           0:0
3               23              0           0:0
5               17              0           2:2
2               23              0           2:2
3               19              0           0:0
8               15              2           2:2
10              24              1           2:2
12              19              0           1:1
22              16              3           1:1
27              23              0           2:2
21              21              0           1:1
18              25              0           3:3
14              12              0           0:0
20              7               0           0:0
20              5               0           0:0
21              3               0           0:0
28              8               0           3:3
40              25              0           4:4

avrg:
13.88           17.83           0.75        1.5
