correct arm.    correct obj.    false arm.  false obj.
10              21              0           12
14              24              0           30
16              27              0           18
12              28              0           14
0               23              0           14
0               20              0           13
0               21              0           14
0               23              0           20
0               17              0           17
0               18              0           11
0               17              0           17
4               16              0           12
0               16              0           17
5               19              0           18
6               19              0           13
12              19              0           20
15              20              0           40
1               23              0           23
12              18              0           15
14              14              0           7
9               10              0           13
16              9               0           14
18              11              0           7
24              9               0           7
22              9               0           0
17              0               0           2
23              31              0           37

avrg:
9.26            17.85           0           15.74
