correct arm.    correct obj.    false arm.  false obj.
22              9               0           4
18              9               0           4
8               12              0           0
4               4               0           0
4               3               0           0
4               3               0           0
0               6               0           0
0               8               0           0
3               14              0           0
0               14              0           0
4               10              0           0
0               7               0           1
3               3               0           0
2               2               0           0
6               2               0           0
13              3               0           0
15              2               1           0
12              9               0           0
14              13              0           3
16              9               0           0
13              11              0           1
22              11              0           0
17              8               0           0
23              12              0           0
26              9               0           1
20              4               0           1
30              8               0           0
26              0               0           0

avrg:
11.61           7.32            0.03        0.54
