correct arm.    correct obj.    false arm.  false obj.
25              9               0           4
24              19              0           5
6               19              0           0
10              19              0           0
6               11              0           3
8               10              0           0
4               12              0           0
5               12              0           2
6               20              0           0
4               24              0           0
7               20              0           0
8               15              0           1
8               6               0           0
18              3               3           1
16              7               0           0
28              6               0           0
29              7               0           1
38              7               1           2
19              14              1           2
13              17              0           3
13              12              0           0
22              10              0           0
19              8               0           0
23              11              0           0
28              9               0           0
20              3               0           1
32              7               0           2
33              26              0           2

avrg:
16.86           12.25           0.18        1.04
