correct arm.    correct obj.    false arm.  false obj.
25              24              0           0:0
17              24              0           2:2
21              23              0           1:1
4               11              0           0:0
6               12              0           0:0
3               5               0           0:0
9               7               0           2:0
14              12              0           0:0
5               6               0           0:0
7               9               0           0:0
6               7               0           0:0
6               10              0           0:0
9               8               0           0:0
10              6               0           1:1
20              17              0           3:3
18              24              0           1:1
19              22              0           4:4
2               25              0           4:4
6               16              0           3:3
18              18              0           2:2
17              11              0           3:3
26              11              0           0:0

avrg:
12.18           14.0            0           1.18
