correct arm.    correct obj.    false arm.  false obj.
17              31              0           1
4               29              0           3
3               32              0           5
0               0               0           23
0               6               0           3
0               18              0           2
0               21              0           10
2               23              0           18
0               15              0           14
0               11              0           13
0               13              0           15
0               12              0           15
0               11              0           19
0               11              0           25
0               9               0           26
0               0               0           45
2               0               0           44
19              15              0           28
17              12              0           24
19              14              0           32
15              14              0           29
9               15              0           26

avrg:
4.96            14.18           0           19.09
