correct arm.    correct obj.    false arm.  false obj.
4               0               0           0
4               0               0           0
2               6               1           0
7               20              0           0
4               13              0           0
0               0               3           0
0               2               0           0
1               1               0           0
0               3               0           0
0               3               0           0
2               4               0           0
2               2               0           0
5               9               0           0
3               7               0           0
5               12              0           1
7               11              0           0
8               11              0           0
11              8               0           0
10              7               0           0
15              5               0           0
10              2               0           0
2               2               0           0
3               1               0           1
4               0               0           1
2               1               0           0
3               0               0           0
2               0               0           0
2               2               0           1
2               2               0           0
3               1               0           2
5               0               0           0
2               6               0           1
2               7               0           0
0               2               5           2
0               7               0           0
0               15              0           0
2               16              0           1
9               20              0           1
5               19              0           0
3               14              1           0
7               17              0           0
3               10              0           0
0               5               0           0

avrg:
3.74            6.35            0.23        0.26
