correct arm.    correct obj.    false arm.  false obj.
24              18              0           7
31              24              0           5
8               13              0           11
0               0               0           18
0               0               0           17
0               0               0           24
4               0               0           8
3               0               0           8
2               5               0           7
0               11              0           8
0               11              0           4
0               5               0           13
0               9               0           11
0               4               0           18
0               0               0           23
0               0               0           10
0               3               0           15
3               6               0           15
7               8               0           17
5               2               0           17
19              13              0           11
18              14              0           15
17              11              1           16
20              9               1           14
18              15              0           19

avrg:
7.16            7.24            0.08        13.24
