correct arm.    correct obj.    false arm.  false obj.
12              19              0           8
15              29              0           11
6               29              0           7
0               27              0           4
0               26              0           2
0               19              0           4
2               28              0           4
6               23              0           0
6               20              0           1
6               25              0           0
7               22              0           0
7               16              0           4
7               15              3           5
11              15              1           6
14              16              2           6
19              18              2           4
16              18              0           7
12              17              0           4
14              15              0           4
23              15              0           2
21              8               0           0
21              18              0           3

avrg:
10.23           19.9            0.36        3.9
