correct arm.    correct obj.    false arm.  false obj.  corrections.
21              19              0           5           12
25              20              0           13          18
17              16              0           4           6
13              17              0           2           4
9               17              1           7           9
8               20              0           2           8
11              19              1           2           12
16              18              1           4           18
9               17              1           5           10
11              16              0           5           12
10              18              0           4           11
14              19              0           2           11
10              20              0           1           14
25              25              0           4           15
38              24              0           4           22
45              25              0           5           26
23              30              0           1           23
11              23              0           4           12
25              11              0           3           10
27              9               0           1           9
23              4               0           1           7
32              3               0           1           7
24              4               0           1           2
30              9               0           2           5
37              23              0           6           23

avrg:
20.56           17.04           0.16        3.56        12.24
