correct arm.    correct obj.    false arm.  false obj.
9               19              0           17
9               21              0           29
10              14              0           11
9               15              0           8
1               18              0           15
0               20              0           10
0               20              0           13
0               19              0           20
0               19              0           13
0               16              0           17
0               16              0           8
4               23              0           11
0               20              0           11
12              25              0           16
17              24              0           25
9               24              0           40
15              11              0           14
18              9               0           10
16              4               0           8
24              3               0           8
22              4               0           3
25              9               0           7
20              5               0           6
14              22              0           31

avrg:
9.75            15.83           0           14.63
